no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
19,毒品,20240718,桃園市中壢區,大廈(六層以上建築物),LINE,電腦網路,1,K(愷)他命(含液態),0.42
20,毒品,20240712,桃園市平鎮區,公路(省、縣、鄉、鎮道, , ,1,安非他命,10.8
21,毒品,20240709,臺中市中區,公路(省、縣、鄉、鎮道, , ,1,安非他命,3.74
21,毒品,20240709,臺中市中區,公路(省、縣、鄉、鎮道, , ,1,K(愷)他命(含液態),0.34
22,毒品,20240708,桃園市桃園區,普通住宅(一、二層樓), , ,1,甲基安非他命,0
23,毒品,20240723,南投縣仁愛鄉,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
24,毒品,20240705,屏東縣屏東市,鐵皮屋, , ,1,甲基安非他命,0
25,毒品,20240708,臺中市清水區,透天厝, , ,1,安非他命,0.9
26,毒品,20240708,臺中市太平區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.63
27,毒品,20240716,新北市新店區,公寓(三至五層建築物), , ,1,安非他命,3.15
28,毒品,20240704,桃園市桃園區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
29,毒品,20240704,苗栗縣南庄鄉,普通住宅(一、二層樓), , ,1,甲基安非他命,4.65
30,毒品,20240720,屏東縣屏東市,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.61
31,毒品,20240716,臺南市南區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.65
32,毒品,20240704,臺中市東區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
33,毒品,20240704,臺南市東區,普通住宅(一、二層樓), , ,1,大麻（大麻花及大麻葉）,1.03
34,毒品,20240717,新竹縣橫山鄉,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.58
34,毒品,20240717,新竹縣橫山鄉,公路(省、縣、鄉、鎮道, , ,1,安非他命,3.93
35,毒品,20240727,臺北市萬華區,公路(省、縣、鄉、鎮道, , ,1,安非他命,2.15
36,毒品,20240701,桃園市中壢區,公路(省、縣、鄉、鎮道, , ,1,大麻（大麻花及大麻葉）,3.05
37,毒品,20240727,臺北市大安區,公路(省、縣、鄉、鎮道, , ,1,大麻（大麻花及大麻葉）,0.22
38,毒品,20240720,桃園市桃園區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
39,毒品,20240704,桃園市八德區,公路(省、縣、鄉、鎮道, , ,1,海洛因,4.85
39,毒品,20240704,桃園市八德區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.59
40,毒品,20240713,嘉義縣溪口鄉,公路(省、縣、鄉、鎮道, , ,1,海洛因,1.37
41,毒品,20240717,新北市新店區,公寓(三至五層建築物), , ,1,安非他命,16.08
42,毒品,20240706,高雄市大社區,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.22
43,毒品,20240711,臺北市萬華區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.19
44,毒品,20240707,臺南市永康區,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.83
44,毒品,20240707,臺南市永康區,公路(省、縣、鄉、鎮道, , ,1,安非他命,1.04
45,毒品,20240708,臺中市北區,公路(省、縣、鄉、鎮道, , ,1,安非他命,43
45,毒品,20240708,臺中市北區,公路(省、縣、鄉、鎮道, , ,1,K(愷)他命(含液態),100
46,毒品,20240717,屏東縣內埔鄉,普通住宅(一、二層樓), ,房間（起居室）,1,安非他命,0.03
47,毒品,20240718,高雄市三民區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.6
48,毒品,20240719,臺北市信義區,公寓(三至五層建築物), , ,1,大麻（大麻花及大麻葉）,0
48,毒品,20240719,臺北市信義區,公寓(三至五層建築物), , ,1,"MDMA（快樂丸、搖頭丸、3,4-亞甲基雙氧甲基安非他命）",0
48,毒品,20240719,臺北市信義區,公寓(三至五層建築物), , ,1,卡西酮,0
48,毒品,20240719,臺北市信義區,公寓(三至五層建築物), , ,1,卡西酮,0
49,毒品,20240723,桃園市蘆竹區,普通住宅(一、二層樓), , ,1,第三級可待因製劑,10
50,毒品,20240704,新竹市東區,公路(省、縣、鄉、鎮道, ,街道馬路,1,安非他命,0.97
51,毒品,20240701,嘉義市西區,公路(省、縣、鄉、鎮道,WeChat微信,電腦網路,1,4-甲基甲基卡西酮(喵喵),0.1
52,毒品,20240712,新北市新莊區,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.64
53,毒品,20240728,桃園市中壢區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
54,毒品,20240723,桃園市中壢區,公路(省、縣、鄉、鎮道, ,機車上,1,安非他命,17.25
55,毒品,20240721,新北市土城區,公寓(三至五層建築物), , ,1,K(愷)他命(含液態),7.54
56,毒品,20240729,雲林縣虎尾鎮,公路(省、縣、鄉、鎮道, , ,1,K(愷)他命(含液態),40
57,毒品,20240701,桃園市龜山區,公路(省、縣、鄉、鎮道, , ,1,海洛因,0
58,毒品,20240721,嘉義縣溪口鄉,普通住宅(一、二層樓), , ,1,安非他命,1.02
59,毒品,20240715,嘉義縣六腳鄉,普通住宅(一、二層樓), , ,1,K(愷)他命(含液態),37.2
59,毒品,20240715,嘉義縣六腳鄉,普通住宅(一、二層樓), , ,1,4-甲基甲基卡西酮(喵喵),0
60,毒品,20240703,新北市板橋區,公寓(三至五層建築物), , ,5,海洛因,0
61,毒品,20240716,彰化縣芬園鄉,普通住宅(一、二層樓), , ,1,海洛因,1.5
61,毒品,20240716,彰化縣芬園鄉,普通住宅(一、二層樓), , ,1,安非他命,0.21
61,毒品,20240716,彰化縣芬園鄉,普通住宅(一、二層樓), , ,1,安非他命,0.41
61,毒品,20240716,彰化縣芬園鄉,普通住宅(一、二層樓), , ,1,安非他命,0.45
61,毒品,20240716,彰化縣芬園鄉,普通住宅(一、二層樓), , ,1,安非他命,0.72
62,毒品,20240731,嘉義市東區,公路(省、縣、鄉、鎮道, , ,1,安非他命,16.88
63,毒品,20240710,基隆市信義區,產業道路, , ,1,安非他命,35.01
64,毒品,20240717,臺中市西屯區,普通住宅(一、二層樓), , ,3,安非他命,10
65,毒品,20240715,新北市新莊區,普通住宅(一、二層樓), , ,1,K(愷)他命(含液態),0.64
66,毒品,20240711,高雄市鳳山區,汽車旅館, , ,1,安非他命,0.27
67,毒品,20240719,桃園市八德區,普通住宅(一、二層樓), , ,1,海洛因,0
68,毒品,20240714,臺北市大安區,公路(省、縣、鄉、鎮道, , ,1,安非他命,1.97
69,毒品,20240722,臺北市北投區,汽車旅館, , ,3,安非他命,21.25
70,毒品,20240723,新北市土城區,公寓(三至五層建築物), , ,2,大麻（大麻花及大麻葉）,0.18
70,毒品,20240723,新北市土城區,公寓(三至五層建築物), , ,2,安非他命,5.15
70,毒品,20240723,新北市土城區,公寓(三至五層建築物), , ,2,卡西酮,6.22
71,毒品,20240719,雲林縣莿桐鄉,普通住宅(一、二層樓), , ,1,海洛因,0.78
72,毒品,20240718,臺北市信義區,公路(省、縣、鄉、鎮道,WeChat微信,電腦網路,1,卡西酮,0
73,毒品,20240715,高雄市小港區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.84
74,毒品,20240703,臺北市大安區,公路(省、縣、鄉、鎮道, , ,1,硝甲西泮(硝甲氮平),39.49
75,毒品,20240702,苗栗縣頭份市,普通住宅(一、二層樓), , ,1,甲基安非他命,0.76
76,毒品,20240723,雲林縣古坑鄉,寺廟、道觀、佛堂、神壇,telegram,電腦網路,1,"MDMA（快樂丸、搖頭丸、3,4-亞甲基雙氧甲基安非他命）",74.53
76,毒品,20240723,雲林縣古坑鄉,寺廟、道觀、佛堂、神壇,telegram,電腦網路,1,K(愷)他命(含液態),10.23
77,毒品,20240704,高雄市左營區,公路(省、縣、鄉、鎮道, , ,1,"MDMA（快樂丸、搖頭丸、3,4-亞甲基雙氧甲基安非他命）",1.77
78,毒品,20240703,彰化縣大村鄉,普通住宅(一、二層樓), , ,1,安非他命,0
79,毒品,20240703,桃園市龜山區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
80,毒品,20240717,新北市新莊區,普通住宅(一、二層樓), , ,1,安非他命,0.1
81,毒品,20240717,新北市新莊區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.1
82,毒品,20240730,新北市石碇區,公寓(三至五層建築物), , ,2,安非他命,27.3
82,毒品,20240730,新北市石碇區,公寓(三至五層建築物), , ,2,卡西酮,0
83,毒品,20240709,桃園市桃園區,公路(省、縣、鄉、鎮道, , ,1,海洛因,0
84,毒品,20240711,臺北市松山區,大廈(六層以上建築物), , ,1,卡西酮,18.49
84,毒品,20240711,臺北市松山區,大廈(六層以上建築物), , ,1,K(愷)他命(含液態),2.05
84,毒品,20240711,臺北市松山區,大廈(六層以上建築物), , ,1,K(愷)他命(含液態),2.44
85,毒品,20240716,桃園市大園區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.4
86,毒品,20240726,桃園市平鎮區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.7
87,毒品,20240720,新北市土城區,公路(省、縣、鄉、鎮道, ,街道馬路,1,安非他命,0.96
88,毒品,20240726,新北市中和區,旅社飯店客棧, , ,1,安非他命,1.01
89,毒品,20240724,桃園市八德區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
90,毒品,20240728,臺北市信義區,公路(省、縣、鄉、鎮道, , ,1,安非他命,1.61
91,毒品,20240724,桃園市八德區,公路(省、縣、鄉、鎮道, , ,1,K(愷)他命(含液態),50.44
92,毒品,20240703,臺南市仁德區,普通住宅(一、二層樓), , ,1,海洛因,4.92
92,毒品,20240703,臺南市仁德區,普通住宅(一、二層樓), , ,1,安非他命,8.39
93,毒品,20240704,臺北市南港區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
94,毒品,20240714,彰化縣彰化市,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.3
94,毒品,20240714,彰化縣彰化市,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.31
94,毒品,20240714,彰化縣彰化市,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.34
94,毒品,20240714,彰化縣彰化市,公路(省、縣、鄉、鎮道, , ,1,海洛因,1.54
94,毒品,20240714,彰化縣彰化市,公路(省、縣、鄉、鎮道, , ,1,海洛因,1.69
94,毒品,20240714,彰化縣彰化市,公路(省、縣、鄉、鎮道, , ,1,海洛因,1.92
94,毒品,20240714,彰化縣彰化市,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.45
94,毒品,20240714,彰化縣彰化市,公路(省、縣、鄉、鎮道, , ,1,安非他命,1.69
94,毒品,20240714,彰化縣彰化市,公路(省、縣、鄉、鎮道, , ,1,安非他命,1.69
95,毒品,20240703,苗栗縣大湖鄉,普通住宅(一、二層樓), , ,1,安非他命,0.73
96,毒品,20240716,桃園市中壢區,汽車旅館, , ,2,安非他命,2
97,毒品,20240717,臺東縣臺東市,普通住宅(一、二層樓), , ,1,K(愷)他命(含液態),11.17
97,毒品,20240717,臺東縣臺東市,普通住宅(一、二層樓), , ,1,4-甲基甲基卡西酮(喵喵),100
98,毒品,20240713,新北市樹林區,公路(省、縣、鄉、鎮道,其他,電腦網路,1,K(愷)他命(含液態),0.1
99,毒品,20240713,南投縣南投市,公路(省、縣、鄉、鎮道, , ,1,海洛因,1.68
99,毒品,20240713,南投縣南投市,公路(省、縣、鄉、鎮道, , ,1,安非他命,3.14
100,毒品,20240712,新北市中和區,公寓(三至五層建築物), , ,1,4-甲基乙基卡西酮(4-MEC),0
101,毒品,20240715,桃園市平鎮區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
102,毒品,20240721,高雄市鳳山區,工地、工寮, , ,1,安非他命,0.8
103,毒品,20240714,宜蘭縣壯圍鄉,高速公路, , ,2,海洛因,26
103,毒品,20240714,宜蘭縣壯圍鄉,高速公路, , ,2,甲基安非他命,37
104,毒品,20240708,屏東縣九如鄉,公路(省、縣、鄉、鎮道, , ,1,安非他命,3.21
105,毒品,20240711,桃園市中壢區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
106,毒品,20240717,高雄市前金區,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.8
107,毒品,20240731,臺中市中區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
108,毒品,20240712,臺北市南港區,醫療院所(門診中心), , ,1,安非他命,7.93
108,毒品,20240712,臺北市南港區,醫療院所(門診中心), , ,1,"MDMA（快樂丸、搖頭丸、3,4-亞甲基雙氧甲基安非他命）",4.19
108,毒品,20240712,臺北市南港區,醫療院所(門診中心), , ,1,"MDMA（快樂丸、搖頭丸、3,4-亞甲基雙氧甲基安非他命）",4.7
109,毒品,20240729,臺中市西屯區,公路(省、縣、鄉、鎮道, , ,1,K(愷)他命(含液態),29.28
110,毒品,20240702,高雄市岡山區,普通住宅(一、二層樓), , ,1,K(愷)他命(含液態),66.25
110,毒品,20240702,高雄市岡山區,普通住宅(一、二層樓), , ,1,4-甲基甲基卡西酮(喵喵),15
111,毒品,20240712,臺北市信義區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
111,毒品,20240712,臺北市信義區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
111,毒品,20240712,臺北市信義區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
112,毒品,20240712,新竹市東區,公路(省、縣、鄉、鎮道, ,巷口(路口),1,安非他命,0.4
113,毒品,20240703,新竹市北區,普通住宅(一、二層樓), , ,1,海洛因,26.9
113,毒品,20240703,新竹市北區,普通住宅(一、二層樓), , ,1,安非他命,3.6
114,毒品,20240705,新北市新莊區,公路(省、縣、鄉、鎮道, , ,1,K(愷)他命(含液態),7.4
115,毒品,20240701,彰化縣鹿港鎮,出租公寓（套房）, , ,1,安非他命,0
116,毒品,20240703,桃園市平鎮區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
117,毒品,20240710,桃園市楊梅區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.2
118,毒品,20240719,雲林縣虎尾鎮,公路(省、縣、鄉、鎮道, , ,1,海洛因,2
118,毒品,20240719,雲林縣虎尾鎮,公路(省、縣、鄉、鎮道, , ,1,安非他命,2
119,毒品,20240703,嘉義市西區,公路(省、縣、鄉、鎮道, ,街道馬路,1,嗎啡,0
120,毒品,20240717,臺中市太平區,普通住宅(一、二層樓), , ,1,海洛因,14
120,毒品,20240717,臺中市太平區,普通住宅(一、二層樓), , ,1,安非他命,14
121,毒品,20240702,臺北市大安區,公路(省、縣、鄉、鎮道, , ,1,安非他命,1.91
122,毒品,20240717,新北市新店區,大廈(六層以上建築物), , ,2,大麻（大麻花及大麻葉）,213
123,毒品,20240712,新北市新莊區,公路(省、縣、鄉、鎮道,telegram,電腦網路,1,安非他命,0.1
123,毒品,20240712,新北市新莊區,公路(省、縣、鄉、鎮道,telegram,電腦網路,1,K(愷)他命(含液態),24.1
123,毒品,20240712,新北市新莊區,公路(省、縣、鄉、鎮道,telegram,電腦網路,1,4-甲基甲基卡西酮(喵喵),0.1
124,毒品,20240715,新北市新莊區,一般餐廳、飲食店, , ,1,安非他命,1.5
125,毒品,20240703,臺北市信義區,公寓(三至五層建築物),WeChat微信,電腦網路,2,卡西酮,0
125,毒品,20240703,臺北市信義區,公寓(三至五層建築物),WeChat微信,電腦網路,2,K(愷)他命(含液態),0
126,毒品,20240727,臺北市大安區,機場, ,大廳,2,大麻（大麻花及大麻葉）,1212
127,毒品,20240715,桃園市八德區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
128,毒品,20240719,苗栗縣通霄鎮,公路(省、縣、鄉、鎮道, , ,1,4-甲基甲基卡西酮(喵喵),50
129,毒品,20240716,彰化縣線西鄉,空地(公、私用地), , ,1,海洛因,0.2
130,毒品,20240713,嘉義縣民雄鄉,空地(公、私用地), , ,1,安非他命,1
131,毒品,20240722,雲林縣古坑鄉,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.88
132,毒品,20240717,嘉義市西區,公路(省、縣、鄉、鎮道, ,街道馬路,1,安非他命,0.15
133,毒品,20240716,南投縣竹山鎮,普通住宅(一、二層樓), , ,1,安非他命,0.01
134,毒品,20240706,臺南市安平區,公路(省、縣、鄉、鎮道, , ,1,安非他命,1.04
135,毒品,20240715,桃園市楊梅區,普通住宅(一、二層樓), , ,2,海洛因,0.59
135,毒品,20240715,桃園市楊梅區,普通住宅(一、二層樓), , ,2,安非他命,0.24
135,毒品,20240715,桃園市楊梅區,普通住宅(一、二層樓), , ,2,安非他命,0.24
135,毒品,20240715,桃園市楊梅區,普通住宅(一、二層樓), , ,2,安非他命,0.39
135,毒品,20240715,桃園市楊梅區,普通住宅(一、二層樓), , ,2,安非他命,0.39
135,毒品,20240715,桃園市楊梅區,普通住宅(一、二層樓), , ,2,安非他命,0.5
135,毒品,20240715,桃園市楊梅區,普通住宅(一、二層樓), , ,2,安非他命,0.5
136,毒品,20240705,臺中市西屯區,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.5
137,毒品,20240704,宜蘭縣冬山鄉,普通住宅(一、二層樓), , ,1,甲基安非他命,0.49
137,毒品,20240704,宜蘭縣冬山鄉,普通住宅(一、二層樓), , ,1,甲基安非他命,0.49
137,毒品,20240704,宜蘭縣冬山鄉,普通住宅(一、二層樓), , ,1,甲基安非他命,0.61
137,毒品,20240704,宜蘭縣冬山鄉,普通住宅(一、二層樓), , ,1,甲基安非他命,1.24
138,毒品,20240718,苗栗縣銅鑼鄉,公路(省、縣、鄉、鎮道,Facebook,電腦網路,1,4-甲基甲基卡西酮(喵喵),0.1
139,毒品,20240714,臺北市信義區,公路(省、縣、鄉、鎮道, , ,1,甲基安非他命,0.72
140,毒品,20240716,新北市五股區,公寓(三至五層建築物), , ,1,安非他命,0
141,毒品,20240702,新北市土城區,公寓(三至五層建築物), , ,1,安非他命,0.71
142,毒品,20240706,高雄市楠梓區,公路(省、縣、鄉、鎮道, , ,1,安非他命,2.51
143,毒品,20240706,新竹縣湖口鄉,公路(省、縣、鄉、鎮道, , ,1,甲基安非他命,0.57
143,毒品,20240706,新竹縣湖口鄉,公路(省、縣、鄉、鎮道, , ,1,甲基安非他命,0.93
143,毒品,20240706,新竹縣湖口鄉,公路(省、縣、鄉、鎮道, , ,1,甲基安非他命,1.18
145,毒品,20240706,南投縣南投市,公司(會社), , ,1,安非他命,0
146,毒品,20240706,高雄市大寮區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.3
147,毒品,20240703,臺南市學甲區,普通住宅(一、二層樓), , ,1,海洛因,0.3
148,毒品,20240707,臺南市善化區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.3
149,毒品,20240718,新竹市東區,公路(省、縣、鄉、鎮道, ,街道馬路,1,安非他命,0.69
150,毒品,20240727,高雄市三民區,公路(省、縣、鄉、鎮道, , ,1,安非他命,11.48
151,毒品,20240722,彰化縣花壇鄉,普通住宅(一、二層樓), , ,1,安非他命,15
152,毒品,20240720,臺中市太平區,大廈(六層以上建築物), , ,1,安非他命,0.24
153,毒品,20240702,臺中市潭子區,公路(省、縣、鄉、鎮道,google（Gmail、youtube等）,電腦網路,1,4-甲基甲基卡西酮(喵喵),214.43
154,毒品,20240706,臺北市信義區,公路(省、縣、鄉、鎮道, , ,1,大麻（大麻花及大麻葉）,0
155,毒品,20240716,苗栗縣南庄鄉,公路(省、縣、鄉、鎮道, , ,1,甲基安非他命,4.65
156,毒品,20240711,花蓮縣花蓮市,公路(省、縣、鄉、鎮道, , ,1,安非他命,3.26
157,毒品,20240709,桃園市桃園區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.85
158,毒品,20240717,南投縣水里鄉,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.5
159,毒品,20240717,桃園市中壢區,公路(省、縣、鄉、鎮道, , ,1,安非他命,81.3
160,毒品,20240725,高雄市大寮區,便利商店, , ,1,安非他命,0.5
161,毒品,20240723,新北市三重區,公寓(三至五層建築物), , ,1,甲基安非他命,0.31
162,毒品,20240720,嘉義縣東石鄉,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.3
163,毒品,20240716,桃園市桃園區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
164,毒品,20240702,彰化縣員林市,普通住宅(一、二層樓), , ,1,安非他命,0
165,毒品,20240701,桃園市中壢區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
166,毒品,20240709,彰化縣員林市,普通住宅(一、二層樓), , ,1,海洛因,8.24
167,毒品,20240721,臺北市大安區,公路(省、縣、鄉、鎮道, , ,1,K(愷)他命(含液態),86
168,毒品,20240711,臺北市萬華區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.55
169,毒品,20240727,新北市土城區,公路(省、縣、鄉、鎮道, ,街道馬路,1,卡西酮,5.94
170,毒品,20240702,彰化縣彰化市,普通住宅(一、二層樓), , ,1,安非他命,1.51
171,毒品,20240716,臺北市文山區,公路(省、縣、鄉、鎮道, ,巷口(路口),1,安非他命,14.87
172,毒品,20240717,新北市新莊區,公寓(三至五層建築物), , ,1,安非他命,2.13
173,毒品,20240708,基隆市仁愛區,公路(省、縣、鄉、鎮道, , ,1,安非他命,1.07
174,毒品,20240707,臺南市永康區,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.68
174,毒品,20240707,臺南市永康區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.53
175,毒品,20240723,臺中市神岡區,公寓(三至五層建築物), , ,1,大麻（大麻花及大麻葉）,1.14
176,毒品,20240712,新北市鶯歌區,公路(省、縣、鄉、鎮道, ,街道馬路,1,4-甲基甲基卡西酮(喵喵),8.73
176,毒品,20240712,新北市鶯歌區,公路(省、縣、鄉、鎮道, ,街道馬路,1,4-甲基甲基卡西酮(喵喵),91.7
177,毒品,20240717,屏東縣內埔鄉,普通住宅(一、二層樓), ,房間（起居室）,1,安非他命,0.33
178,毒品,20240707,嘉義縣民雄鄉,普通住宅(一、二層樓), , ,1,安非他命,0.2
178,毒品,20240707,嘉義縣民雄鄉,普通住宅(一、二層樓), , ,1,4-甲基甲基卡西酮(喵喵),56.35
179,毒品,20240709,臺北市大安區,公路(省、縣、鄉、鎮道, , ,1,"MDMA（快樂丸、搖頭丸、3,4-亞甲基雙氧甲基安非他命）",0.01
180,毒品,20240703,屏東縣九如鄉,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
181,毒品,20240723,嘉義市西區,公路(省、縣、鄉、鎮道, ,街道馬路,1,K(愷)他命(含液態),10.3
182,毒品,20240701,嘉義市西區,公路(省、縣、鄉、鎮道, , ,1,K(愷)他命(含液態),5.03
183,毒品,20240701,彰化縣花壇鄉,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.66
183,毒品,20240701,彰化縣花壇鄉,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.94
183,毒品,20240701,彰化縣花壇鄉,公路(省、縣、鄉、鎮道, , ,1,安非他命,3.38
184,毒品,20240715,新竹縣橫山鄉,普通住宅(一、二層樓), , ,1,安非他命,0.52
185,毒品,20240715,臺北市萬華區,公路(省、縣、鄉、鎮道, , ,1,甲基安非他命,0.59
186,毒品,20240714,新北市三重區,普通住宅(一、二層樓),其他,電腦網路,1,安非他命,2.2
187,毒品,20240720,宜蘭縣員山鄉,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.9
188,毒品,20240704,臺北市萬華區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
189,毒品,20240711,臺北市大安區,公路(省、縣、鄉、鎮道, , ,1,大麻（大麻花及大麻葉）,0.01
190,毒品,20240715,基隆市仁愛區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.9
191,毒品,20240713,桃園市龜山區,普通住宅(一、二層樓), , ,1,K(愷)他命(含液態),19.16
192,毒品,20240701,雲林縣莿桐鄉,普通住宅(一、二層樓), , ,1,海洛因,2.5
192,毒品,20240701,雲林縣莿桐鄉,普通住宅(一、二層樓), , ,1,安非他命,30
193,毒品,20240701,嘉義市西區,便利商店,WeChat微信,電腦網路,1,K(愷)他命(含液態),56.75
193,毒品,20240701,嘉義市西區,便利商店,WeChat微信,電腦網路,1,4-甲基甲基卡西酮(喵喵),0.1
194,毒品,20240714,臺北市大安區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.5
195,毒品,20240708,臺北市信義區,公路(省、縣、鄉、鎮道, , ,2,海洛因,0
195,毒品,20240708,臺北市信義區,公路(省、縣、鄉、鎮道, , ,2,海洛因,1.61
195,毒品,20240708,臺北市信義區,公路(省、縣、鄉、鎮道, , ,2,安非他命,14.56
196,毒品,20240726,花蓮縣鳳林鎮,普通住宅(一、二層樓), , ,1,安非他命,0.4
197,毒品,20240714,新竹縣竹北市,公路(省、縣、鄉、鎮道, , ,1,4-甲基甲基卡西酮(喵喵),83
198,毒品,20240703,新竹縣竹東鎮,公路(省、縣、鄉、鎮道, ,街道馬路,1,安非他命,0.31
199,毒品,20240717,臺中市太平區,普通住宅(一、二層樓), , ,1,海洛因,0.44
199,毒品,20240717,臺中市太平區,普通住宅(一、二層樓), , ,1,安非他命,10
200,毒品,20240728,新北市淡水區,公寓(三至五層建築物), , ,1,安非他命,0
201,毒品,20240703,臺中市南區,普通住宅(一、二層樓), , ,1,K(愷)他命(含液態),20
202,毒品,20240712,臺北市大安區,商店行號, , ,1,海洛因,0.01
203,毒品,20240704,桃園市龜山區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
204,毒品,20240712,高雄市大寮區,公路(省、縣、鄉、鎮道, , ,1,安非他命,11.64
